Customer_ID,Customer_FullName,Address,Phone_Number,Email
Cus10021v,Phan Thị Châu,520/470/ Đường số 36/Bình Trị Đông,0858804497,phanchau@gmail.com
Cus100250v,Bùi Văn Ngân,158/450/ Linh Xuân/Quận 7,0817185097,buingan@gmail.com
Cus1004v,Lê Trọng Trúc,842/535/ Xa Lộ Hà Nội/Phường 09,0831375855,letruc@gmail.com
Cus100785v,Đinh Tấn Thư,950/661/ Ụ Ghe/Phước Long B,0986665359,dinhthu@gmail.com
Cus101239v,Lê Thị Lan,452/859/Điện Biên Phủ/Quận 12,0797029913,lelan@gmail.com
Cus101401v,Phùng Tấn Tú,642/415/ Đường số 20/Phường 15,0969862329,phungtu@gmail.com
Cus101601v,Đoàn Thị Ngân,263/409/ Đường số 17/Hiệp Tân,0356626881,doanngan@gmail.com
Cus101645v,Đặng Văn Cúc,674/832/Phạm Ngũ Lão/Tân Tạo,0985105667,dangcuc@gmail.com
Cus102418v,Võ Thị Đạt,639/458/ Dân Chủ/Bình Trị Đông,0864337720,vodat@gmail.com
Cus10251v,Ninh Thu Trâm,195/730/ Đường số 27/Phú Trung,0773871906,ninhtram@gmail.com
Cus10288v,Đỗ Như Mẫn,602/154/ Hàn Thuyên/Hiệp Bình Chánh,0761272430,doman@gmail.com
Cus103400v,Đào Thị Hoàng,365/251/ Đường số 12/Cát Lái,0969066521,daohoang@gmail.com
Cus103490v,Phan Kim Nghị,77/573/ Đường số 11/Bình Trưng Đông,0342198999,phannghi@gmail.com
Cus104034v,Đào Hồng Trâm,536/351/ Đường số 44/Bến Thành,0851215162,daotram@gmail.com
Cus104107v,Đinh Minh Huy,420/742/ Tỉnh lộ 42/Bình Trị Đông,0859422572,dinhhuy@gmail.com
Cus104370v,Liêu Thu Phú,608/436/ Linh Xuân/Hiệp Bình Chánh,0337723267,lieuphu@gmail.com
Cus104462v,Tôn Thị Nghị,322/804/ Hàn Thuyên/Thạnh Mỹ Lợi,0792795199,tonnghi@gmail.com
Cus104515v,Tô Huỳnh Minh Khoa,262/756/ Hữu Nghị/Đa Cao,0787107827,tokhoa@gmail.com
Cus104516v,Trần Quang Hoàng,246/453/ Linh Đông/Phường 11,0891837570,tranhoang@gmail.com
Cus104587v,Ngô Hồng Vy,416/709/Phú Hữu/Hiệp Phú,0938315459,ngovy@gmail.com
Cus104595v,Lữ Tấn Khoa,294/536/Trần Khánh Dư/Tân Tạo,0772527004,lukhoa@gmail.com
Cus104747v,Lại Thị Linh,716/801/ Đường số 9/Quận Bình Thạnh,0384983891,lailinh@gmail.com
